level,category,number,title,kind,new_path,size_bytes,sha256,original_path
intermediate,listening,30,First Impressions,student_pdf,materials/intermediate/listening/listening-30/student.pdf,91288,ba251f237c0b760a618401305ed64961c279998959b5ea3ddbbcea50c56bc57a,intermediate/INTERMEDIATE/LISTENING/STUDENT/INTER LISTENING #30 FIRST IMPRESSIONS.pdf
intermediate,listening,30,First Impressions,audio,materials/intermediate/listening/listening-30/audio.mp3,1304549,5cb572a112fb11a8107b8fdef9af60d176a430d5c03d2109e10770da9eeebb09,intermediate/INTERMEDIATE/ÁUDIO /LISTENING/INTER LISTENING #30 FIRST IMPRESSIONS.mp3
intermediate,listening,30,First Impressions,teacher_guide,materials/intermediate/listening/listening-30/teacher-guide.pdf,90134,33604d511171af0d80c88529bc6126e49d85160f95be406f940e8b5d9dd3fffe,intermediate/INTERMEDIATE/LISTENING/TEACHER/INTER LISTENING #30 FIRST IMPRESSIONS TG .pdf
advanced,listening,1,Check in Process,student_pdf,materials/advanced/listening/listening-01/student.pdf,91712,c56738a6b7b566b5694c56fab20eeb7dee395c959d18218ff37f696d0218454b,advanced/ADVANCED/LISTENING/STUDENT/ADV LISTENING #01 CHECK IN PROCESS .pdf
advanced,listening,1,Check in Process,audio,materials/advanced/listening/listening-01/audio.mp3,2792469,428dc6ff6778e17591342df2a1b832ca60ef2fc34a675bb7406a55600f56ce81,advanced/ADVANCED/#U00c1UDIO/LISTENING/ADV LIST #01 CHECK IN PROCESS.mp3
advanced,listening,2,Talking to Barista,student_pdf,materials/advanced/listening/listening-02/student.pdf,133960,07072f3299f12ed4bfae17ef349ec08d452d30f179b1187f1a4285482b007ab8,advanced/ADVANCED/LISTENING/STUDENT/ADV LISTENING #02 TALKING TO BARISTA.pdf
advanced,listening,2,Talking to Barista,audio,materials/advanced/listening/listening-02/audio.mp3,2514502,fa5af8646ec4d89696d70f2a8e5dad592580d432166b2b34322c09fb77effaf6,advanced/ADVANCED/#U00c1UDIO/LISTENING/ADV LIST #02 TALKING TO BARISTA.mp3
advanced,listening,3,Flight Announcements,student_pdf,materials/advanced/listening/listening-03/student.pdf,99884,a72149605a2e038af91e582955b9262f9db6564e095fa5923b714cdc46a35ada,advanced/ADVANCED/LISTENING/STUDENT/ADV LISTENING #03 FLIGHT ANNOUNCEMENTS.pdf
advanced,listening,3,Flight Announcements,audio,materials/advanced/listening/listening-03/audio.mp3,2403953,1b10f2c3cf6c0915305d4410388dad5667912e2248836bd453694f947862877e,advanced/ADVANCED/#U00c1UDIO/LISTENING/ADV LIST #03 FLIGHT ANNOUNCEMENTS.mp3
advanced,listening,4,Listening for Directions,student_pdf,materials/advanced/listening/listening-04/student.pdf,121812,a9d52d252a9fc7551f237d8426cdd91eb73c026e93dc3d22dd08276c1061b8ac,advanced/ADVANCED/LISTENING/STUDENT/ADV LISTENING #04 LISTENING FOR DIRECTIONS.pdf
advanced,listening,4,Listening for Directions,audio,materials/advanced/listening/listening-04/audio.mp3,5164887,2fac9bfee6fb63e371f0f23bc0a245ddf4d9c01cfc571d0a0e2b927574415472,advanced/ADVANCED/#U00c1UDIO/LISTENING/ADV LIST #04 LISTENING FOR DIRECTIONS.mp3
advanced,listening,5,Going to the Dentist,student_pdf,materials/advanced/listening/listening-05/student.pdf,107432,88717ef7152f93fab0aa1cca83a7008861ce5f7db0519cf455b5c268159ec659,advanced/ADVANCED/LISTENING/STUDENT/ADV LISTENING #05 GOING TO THE DENTIST.pdf
advanced,listening,5,Going to the Dentist,audio,materials/advanced/listening/listening-05/audio.mp3,3215983,0cbe04b3a93bd164d74a217c71d7c2c0dd0468d230ecdb5dd8b8072df9d46968,advanced/ADVANCED/#U00c1UDIO/LISTENING/ADV LIST #05 GOING TO THE DENTIST (1).mp3
advanced,listening,6,Campaign Election,student_pdf,materials/advanced/listening/listening-06/student.pdf,96872,1e81cbcb3cdfb8c68e3c1dd988d2579f21f47fb7c2b2b119a9b1533ba3cac767,advanced/ADVANCED/LISTENING/STUDENT/ADV LISTENING #06 CAMPAIGN ELECTION.pdf
advanced,listening,6,Campaign Election,audio,materials/advanced/listening/listening-06/audio.mp3,3117198,c1cc7840cf16db9fdf1052746cd76504e5d786f22cc8d5f34a17257996d9ed9a,advanced/ADVANCED/#U00c1UDIO/LISTENING/ADV LIST #06 PHARMACY (1).mp3
advanced,listening,7,Renting a Car,student_pdf,materials/advanced/listening/listening-07/student.pdf,117514,f37095a42829f45ac25356420eb771e3ae0fe9bfad3315a493b9693c24d3947a,advanced/ADVANCED/LISTENING/STUDENT/ADV LISTENING #07 RENTING A CAR.pdf
advanced,listening,7,Renting a Car,audio,materials/advanced/listening/listening-07/audio.mp3,2902656,ffd093bd5ea9c57796200d16e547599d527b12228c82b655e42e814a5fb98987,advanced/ADVANCED/#U00c1UDIO/LISTENING/ADV LIST #07 RENTING A CAR (1).mp3
advanced,listening,8,Breaking News,student_pdf,materials/advanced/listening/listening-08/student.pdf,144212,222bad6167b88b1c47f2e73a6812b72e95e6f2b23e2e6b41988383b01321a435,advanced/ADVANCED/LISTENING/STUDENT/ADV LISTENING #08 BREAKING NEWS.pdf
advanced,listening,8,Breaking News,audio,materials/advanced/listening/listening-08/audio.mp3,5305234,83580338ef493982f4f050902ecaa7c0251594020edf8a4a080c1313f78d1267,advanced/ADVANCED/#U00c1UDIO/LISTENING/ADV LIST #08 BREAKING NEWS (1).mp3
advanced,listening,9,Opening a Bank Account,student_pdf,materials/advanced/listening/listening-09/student.pdf,124595,26be03c17b2bf940a4e493d7ece60746439c4abb1bc7dcb71c7127398551d5dc,advanced/ADVANCED/LISTENING/STUDENT/ADV LISTENING #09 OPENING A BANK ACCOUNT.pdf
advanced,listening,9,Opening a Bank Account,audio,materials/advanced/listening/listening-09/audio.mp3,5318168,d878cf168a99139494fb01a4e2e0b95becd3b186682ed8155a66db3a2fef3602,advanced/ADVANCED/#U00c1UDIO/LISTENING/ADV LIST #09 OPENING BANK ACT (1).mp3
advanced,listening,10,Radio Show,student_pdf,materials/advanced/listening/listening-10/student.pdf,141400,f9a4529166c06fd136005eaae41a17816de02a621cf77b1308eb9146d862b2bb,advanced/ADVANCED/LISTENING/STUDENT/ADV LISTENING #10 RADIO SHOW.pdf
